catalogue:80/container_fs_io_current,catalogue:80/container_fs_usage_bytes,edge-router:80/container_fs_io_current,edge-router:80/container_fs_usage_bytes,orders:80/container_fs_io_current,orders:80/container_fs_usage_bytes,shipping:80/container_fs_io_current,shipping:80/container_fs_usage_bytes,payment:80/container_fs_usage_bytes,payment:80/container_fs_io_current,carts:80/container_fs_io_current,carts:80/container_fs_usage_bytes
0.200007273,2.127350085,77.90484155,542.915841,0.2,2.109090909,24.90909091,247.8727273,0.0,0.0,0.0,0.0
0.199996364,2.12723405,58.71336097,408.8115499,0.2,2.109090909,22.95630662,231.47306,0.0,0.0,0.0,0.0
0.200003636,2.127311406,66.79635656,455.1206298,0.2,2.109090909,29.10697404,285.4156061000001,0.0,0.0,0.0,0.0
0.200003636,2.090947108,75.09047593,497.3357339,0.2,2.127272727,24.4,241.6545455,0.0,0.0,0.0,0.0
0.200014547,2.109244309,60.67272727,366.43636360000005,0.2,2.109090909,26.98181818,268.4909091,0.0,0.0,0.0,0.0
0.2,2.090909091,52.3952368,314.6077628999999,0.20001091,2.109205957,28.45454545,278.2909091,0.0,0.0,0.0,0.0
0.2,2.090909091,60.00109093,385.0797287,0.199996364,2.12723405,26.0,253.9090909,0.0,0.0,0.0,0.0
0.200003636,2.090947108,66.63272912,450.75723139999985,0.2,2.109090909,30.81818182,304.8909091,0.0,0.0,0.0,0.0
0.2,2.054545455,69.01628617,457.0488585,0.2,2.090909091,23.97876634,243.5508208,0.0,0.0,0.0,0.0
0.200003636,2.054582811,56.2,395.7636364,0.200003636,2.090947108,28.18181818,285.4545455,0.0,0.0,0.0,0.0
0.199989092,2.036252568,72.41159895,510.1172621,0.2,2.054545455,28.47272727,288.3272727,0.0,0.0,0.0,0.0
0.199985456,2.07257654,75.81956036,497.918144,0.199989092,2.018071742,19.29090909,203.5272727,0.0,0.0,0.0,0.0
0.200003636,2.072764959,61.19888729,394.1746514,0.199985456,2.054396044,20.47272727,214.0909091,0.0,0.0,0.0,0.0
0.2,2.109090909,52.96363636,345.6181818,0.2,2.036363636,22.88966056,243.423086,0.0,0.0,0.0,0.0
0.2,2.145454545,70.36747459,466.4072586,0.2,2.018181818,27.68939876,287.6933985,0.0,0.0,0.0,0.0
0.2,2.1636363640000003,74.79864002,504.6817331,0.2,2.054545455,25.2359048,265.8678933,0.0,0.0,0.0,0.0
0.20001091,2.163754387,57.61922944,408.207422,0.2,2.072727273,25.78603772,262.3520212,0.0,0.0,0.0,0.0
0.2,2.127272727,64.29090909,454.8181818,0.199992728,2.090833061,28.56363636,290.9454545,0.0,0.0,0.0,0.0
0.199989092,2.090795048,77.78040399,522.4814094,0.2,2.127272727,28.07272727,286.6909091,0.0,0.0,0.0,0.0
0.2,2.072727273,59.76254977,388.120216,0.2,2.109090909,24.8,241.4909091,0.0,0.0,0.0,0.0
0.20001091,2.054657527,58.65881155,376.3910103,0.2,2.1636363640000003,29.05454545,288.0363636,0.0,0.0,0.0,0.0
0.200007273,2.054620168,64.6,439.9818182,0.2,2.181818182,22.56363636,228.2,0.0,0.0,0.0,0.0
0.2,2.054545455,76.05316267,525.972255,0.200003636,2.145493554,27.56413753,279.6596302,0.0,0.0,0.0,0.0
0.200007273,2.072802647,67.89708155,458.768979,0.2,2.1636363640000003,24.25322255,245.204807,0.0,0.0,0.0,0.0
0.2,2.109090909,59.54653721,431.5351188,0.2,2.2,22.87522275,243.7720479,0.0,0.0,0.0,0.0
0.2,2.072727273,66.58302878,486.3179331,0.2,2.181818182,23.05454545,247.4181818,0.0,0.0,0.0,0.0
0.2,2.072727273,64.31026019,415.4439172,0.2,2.1636363640000003,23.98399855,252.2956632,0.0,0.0,0.0,0.0
0.199996364,2.090871075,54.56462845,340.3334606,0.199996364,2.1817785130000003,26.16363636,278.4,0.0,0.0,0.0,0.0
0.2,2.090909091,59.76363636,386.6727273,0.2,2.145454545,24.52727273,261.8363636,0.0,0.0,0.0,0.0
0.2,2.090909091,78.90909091,507.1818182,0.2,2.145454545,21.14545455,226.0,0.0,0.0,0.0,0.0
0.2,2.090909091,63.78181818,401.8545455,0.199985456,2.127118028,27.016217,270.0349066,0.0,0.0,0.0,0.0
0.200003636,2.109129257,61.58181818,423.8727273,0.200003636,2.090947108,29.70909091,294.8181818,0.0,0.0,0.0,0.0
0.200029095,2.127582194,77.36363636,529.9090909,0.199985456,2.127118028,22.85454545,224.5454545,0.0,0.0,0.0,0.0
0.2,2.109090909,78.88373784,544.1868921,0.200018183,2.109282662,28.01818182,261.7818182,0.0,0.0,0.0,0.0
0.2,2.127272727,69.55889040000001,460.7366985000001,0.199916399,2.090035076,29.2439113,275.9178481,0.0,0.0,0.0,0.0
0.200003636,2.072764959,68.01818182,472.4727273,0.2,2.054545455,25.16409389,246.8044874,0.0,0.0,0.0,0.0
0.199978184,2.054321347,79.29235077,542.8462336,0.2,2.090909091,29.49251777,273.59674160000003,0.0,0.0,0.0,0.0
0.2,2.036363636,78.08948928,555.0080908,0.2,2.090909091,25.89090909,238.8909091,0.0,0.0,0.0,0.0
0.2,2.018181818,67.59877093,470.2823585,0.199996364,2.109052563,27.255041,252.7318679,0.0,0.0,0.0,0.0
0.199996364,2.036326612,64.96481754,460.2447317,0.2,2.109090909,19.29125984,185.87610680000003,0.0,0.0,0.0,0.0
0.200007273,2.036437689,72.70512517,504.2088613,0.2,2.127272727,22.5673292,200.6873852,0.0,0.0,0.0,0.0
0.199996364,2.090871075,65.47153688,441.7192415,0.2,2.127272727,24.8,227.4545455,0.0,0.0,0.0,0.0
0.199996364,2.072689587,54.25454545,361.5818182,0.2,2.145454545,20.92727273,206.0727273,0.0,0.0,0.0,0.0
0.2,2.054545455,60.0628988,402.6977404,0.2,2.109090909,27.2,266.3454545,0.0,0.0,0.0,0.0
0.200021821,2.036585809,67.88473775,462.72157080000005,0.200029095,2.127582194,26.49139075,260.6047383,0.0,0.0,0.0,0.0
0.2,2.090909091,67.72604134,440.1556335,0.2,2.181818182,24.96363636,255.0727273,0.0,0.0,0.0,0.0
0.2,2.072727273,57.68986018,400.37453860000005,0.2,2.181818182,23.3268486,236.41388340000003,0.0,0.0,0.0,0.0
0.2,2.072727273,75.58044399,520.4996273,0.2,2.181818182,26.92727273,267.8181818,0.0,0.0,0.0,0.0
0.199989092,2.054433395,70.17288709,483.7202538,0.200003636,2.181857852,29.65454545,298.0545455,0.0,0.0,0.0,0.0
0.199989092,2.108975874,67.01340268,463.2017313,0.2,2.181818182,23.92727273,243.2,0.0,0.0,0.0,0.0
0.200003636,2.090947108,58.12727273,417.9636364,0.2,2.145454545,26.65454545,270.3090909,0.0,0.0,0.0,0.0
0.199996364,2.109052563,68.19380056,500.4635942,0.199996364,2.163597026,27.47222778,288.9402011,0.0,0.0,0.0,0.0
0.2,2.090909091,65.6,459.6727273,0.199985456,2.145298524,20.32764232,217.8039601,0.0,0.0,0.0,0.0
0.2,2.036363636,51.07179869,354.62991580000005,0.2,2.090909091,22.29131439,225.622284,0.0,0.0,0.0,0.0
0.200007273,2.036437689,52.77222323,367.5149973,0.2,2.145454545,27.36363636,278.5272727,0.0,0.0,0.0,0.0
0.199992728,2.018108432,69.47399044,482.0996745,0.2,2.127272727,22.29090909,224.8909091,0.0,0.0,0.0,0.0
0.2,2.036363636,73.32460638,510.83596960000006,0.199996364,2.12723405,20.87386585,207.9386148,0.0,0.0,0.0,0.0
0.2,2.036363636,52.39904729,374.7568226,0.2,2.109090909,24.8,253.6,0.0,0.0,0.0,0.0
0.2,2.072727273,64.14195589,454.3024926,0.199985456,2.108937532,21.30870348,224.577735,0.0,0.0,0.0,0.0
0.2,2.072727273,74.85318449,511.7543317,0.200014547,2.127427449,20.05454545,205.6,0.0,0.0,0.0,0.0
0.199992728,2.054470747,60.05345357,402.13814289999993,0.2,2.1636363640000003,28.50909091,296.2181818,0.0,0.0,0.0,0.0
0.2,2.090909091,57.78286878,380.8069238,0.2,2.181818182,30.58181818,313.3454545,0.0,0.0,0.0,0.0
0.2,2.072727273,63.92727273,439.8,0.199956373,2.217697957,25.051357100000004,256.858218,0.0,0.0,0.0,0.0
0.20001091,2.091023147,77.41958945,526.1186567,0.2,2.181818182,25.7230635,262.684288,0.0,0.0,0.0,0.0
0.2,2.109090909,68.18181818,450.5818182,0.2,2.1636363640000003,32.32374650000001,332.7273388000001,0.0,0.0,0.0,0.0
0.199996364,2.109052563,64.48504681,441.978002,0.2,2.1636363640000003,26.54545455,277.2909091,0.0,0.0,0.0,0.0
0.2,2.054545455,72.45322812,485.1184524,0.2,2.127272727,19.34510282,201.6145161,0.0,0.0,0.0,0.0
0.200003636,2.054582811,67.10665067,405.20344710000006,0.200018183,2.091099191,28.79895277,303.9344023999999,0.0,0.0,0.0,0.0
0.2,2.090909091,58.62031347,337.0304375,0.2,2.127272727,24.2523407,258.3401509,0.0,0.0,0.0,0.0
0.2,2.072727273,59.25562283,374.8613611,0.20001091,2.109205957,21.90948926,231.27693230000003,0.0,0.0,0.0,0.0
